concept	year	apple	cook	iphone	macbook	ipad	pro	pc	computer	mac	year	phone	music	ipod	shuffle	cider	juice	drink	vinegar	fruit	florida	orange
phone	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1658	0.1573	0.1981	0.1749	0.11884	0.1294	0.1862	0.127	0.1665	0.1338
music	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.4658	0.2017	0.184	0.1201	0.2024	0.1324	0.1462	0.1674
ipod	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4658	0.2002	0.1451	0.1558	0.2114	0.1509	0.1914	0.1592
shuffle	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.2141	0.1783	0.2479	0.1821	0.2096	0.2075
cider	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0276	0.3384	0.4543	0.167	0.2087	0.1864
juice	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2377	0.1937	0.2488	0.2817	0.2394
drink	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3513	0.2206	0.1409	0.1388
vinegar	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1788	0.2129	0.1965
fruit	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1401	0.12024
florida	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4004
orange	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
